"kind","etag","items__kind","items__etag","items__id","items__snippet__channelId","items__snippet__title","items__snippet__assignable"
"","","youtube#videoCategory","""XI7nbFXulYBIpL0ayR_gDh3eu1k/Xb5JLhtyNRN3AQq021Ds-OV50Jk""","35","UCBR8-60-B28hp2BmDPdntcQ","Documentary","False"
"","","youtube#videoCategory","""XI7nbFXulYBIpL0ayR_gDh3eu1k/u8WXzF4HIhtEi805__sqjuA4lEk""","36","UCBR8-60-B28hp2BmDPdntcQ","Drama","False"
"","","youtube#videoCategory","""XI7nbFXulYBIpL0ayR_gDh3eu1k/D04PP4Gr7wc4IV_O9G66Z4A8KWQ""","37","UCBR8-60-B28hp2BmDPdntcQ","Family","False"
"","","youtube#videoCategory","""XI7nbFXulYBIpL0ayR_gDh3eu1k/i5-_AceGXQCEEMWU0V8CcQm_vLQ""","38","UCBR8-60-B28hp2BmDPdntcQ","Foreign","False"
"","","youtube#videoCategory","""XI7nbFXulYBIpL0ayR_gDh3eu1k/rtlxd0zOixA9QHdIZB26-St5qgQ""","39","UCBR8-60-B28hp2BmDPdntcQ","Horror","False"
"","","youtube#videoCategory","""XI7nbFXulYBIpL0ayR_gDh3eu1k/N1TrDFLRppxZgBowCJfJCvh0Dpg""","40","UCBR8-60-B28hp2BmDPdntcQ","Sci-Fi/Fantasy","False"
"","","youtube#videoCategory","""XI7nbFXulYBIpL0ayR_gDh3eu1k/7UMGi6zRySqXopr_rv4sZq6Za2E""","41","UCBR8-60-B28hp2BmDPdntcQ","Thriller","False"
"","","youtube#videoCategory","""XI7nbFXulYBIpL0ayR_gDh3eu1k/RScXhi324h8usyIetreAVb-uKeM""","42","UCBR8-60-B28hp2BmDPdntcQ","Shorts","False"
"","","youtube#videoCategory","""XI7nbFXulYBIpL0ayR_gDh3eu1k/0n9MJVCDLpA8q7aiGVrFsuFsd0A""","43","UCBR8-60-B28hp2BmDPdntcQ","Shows","False"
"","","youtube#videoCategory","""XI7nbFXulYBIpL0ayR_gDh3eu1k/x5NxSf5fz8hn4loSN4rvhwzD_pY""","44","UCBR8-60-B28hp2BmDPdntcQ","Trailers","False"
